평소에 보통 몇시에 잠에 드나요?,하루 평균 몇시간 정도 잠을 자나요?,10학년 체육 수업 때 셔틀런(왕복달리기/Beep Test)을 몇개 뛰었나요?,"일주일에 운동을 몇번 하나요?
(학교 체육 시간 제외)",수면시간이 체력에 영향을 미친다고 생각하나요?,타임스탬프,상품을 원하시는 분들은 아래에 카카오톡 아이디와 학번 이름 작성해주시기 바랍니다
밤 10~11시,6~7시간,50~60개,4번,예,,
밤 11~12시,6~7시간,70~80개,6번,예,,
새벽 12~1시,5~6시간,40~50개,3번,예,,
새벽 3~4시,2~3시간,30~40개,X 하지 않는다,예,,
새벽 12~1시,6~7시간,80~90개,매일,예,,
밤 10~11시,7~8시간,50~60개,5번,예,,
밤 11~12시,5~6시간,70~80개,3번,예,,
새벽 12~1시,5~6시간,50~60개,5번,예,,
저녁 8~9시,7~8시간,50~60개,2번,예,,
밤 11~12시,5~6시간,40~50개,X 하지 않는다,예,,
밤 9~10시,7~8시간,80~90개,5번,예,,
새벽 4~5시,1~2시간,70~80개,4번,아니요,,
새벽 2~3시,3~4시간,70~80개,매일,아니요,,
저녁 8~9시,8~9시간,100개 이상,6번,예,,
새벽 3~4시,2~3시간,30~40개,1번,예,,
밤 9~10시,6~7시간,40~50개,4번,예,,
밤 11~12시,7~8시간,30~40개,매일,예,,
새벽 1~2시,6~7시간,30~40개,4번,예,,
새벽 1~2시,4~5시간,30~40개,2번,예,,
밤 10~11시,8~9시간,40~50개,3번,예,,
밤 11~12시,7~8시간,50~60개,4번,예,,
밤 9~10시,8~9시간,30~40개,2번,예,,
밤 10~11시,8~9시간,70~80개,매일,예,,
새벽 4~5시,1~2시간,20~30개,X 하지 않는다,예,,
새벽 3~4시,2~3시간,20~30개,1번,예,,
새벽 1~2시,4~5시간,40~50개,3번,예,,
밤 10~11시,6~7시간,50~60개,4번,예,,
밤 11~12시,6~7시간,70~80개,6번,예,,
새벽 12~1시,5~6시간,40~50개,3번,예,,
새벽 3~4시,2~3시간,30~40개,X 하지 않는다,예,,
새벽 12~1시,6~7시간,80~90개,매일,예,,
새벽 2~3시,4~5시간,40~50개,3번,예,,
새벽 12~1시,5~6시간,30~40개,3번,아니요,,
새벽 1~2시,5~6시간,80~90개,1번,예,,
밤 11~12시,5~6시간,50~60개,3번,예,,
새벽 2~3시,3~4시간,20~30개,5번,예,,
새벽 12~1시,6~7시간,30~40개,2번,예,,
새벽 12~1시,5~6시간,30~40개,X 하지 않는다,예,,
새벽 12~1시,5~6시간,30~40개,3번,아니요,,
새벽 12~1시,6~7시간,80~90개,5번,예,,
밤 9~10시,8~9시간,50~60개,5번,예,,
밤 9~10시,10시간 이상,50~60개,5번,예,,
밤 10~11시,7~8시간,50~60개,4번,아니요,,
밤 11~12시,7~8시간,50~60개,5번,예,,
새벽 1~2시,5~6시간,70~80개,4번,예,,
저녁 8~9시,6~7시간,20~30개,3번,예,,
저녁 8~9시,8~9시간,50~60개,5번,예,,
새벽 1~2시,4~5시간,30~40개,1번,예,,
밤 11~12시,4~5시간,30~40개,2번,예,,
새벽 2~3시,3~4시간,30~40개,X 하지 않는다,예,,
밤 9~10시,5~6시간,70~80개,5번,예,,
새벽 12~1시,5~6시간,50~60개,2번,예,,
새벽 1~2시,5~6시간,30~40개,X 하지 않는다,예,,
새벽 2~3시,3~4시간,40~50개,2번,예,,
새벽 12~1시,5~6시간,50~60개,3번,아니요,,
밤 11~12시,7~8시간,30~40개,매일,예,,
새벽 1~2시,6~7시간,30~40개,4번,예,,
새벽 1~2시,4~5시간,30~40개,2번,예,,
밤 10~11시,8~9시간,40~50개,3번,예,,
밤 11~12시,7~8시간,50~60개,4번,예,,
밤 11~12시,4~5시간,30~40개,2번,예,,
새벽 2~3시,3~4시간,30~40개,X 하지 않는다,예,,
밤 9~10시,5~6시간,70~80개,5번,예,,
새벽 12~1시,5~6시간,50~60개,2번,예,,
새벽 1~2시,5~6시간,30~40개,X 하지 않는다,예,,
새벽 2~3시,3~4시간,40~50개,2번,예,,
새벽 12~1시,5~6시간,50~60개,3번,아니요,,
